大学八级英语单词|abase|英[ə'beɪs] 美[ə'beɪs]|v.降低……的地位；降低……的品格；贬低|The president is not willing to abase himself before the nation.|总统不愿在全国人民面前降低自己的威信。|大学八级英语单词
大学八级英语单词|badger|英['bædʒə(r)] 美['bædʒər]|n.獾；獾皮（毛）<br>Badger：獾州人（对威斯康星州人的昵称）.<br>v.纠缠；一再烦扰；吵着要|The Badger strode heavily into the room.<br>A badger jumped out of a small tunnel.<br>You can't badger me into going to the party.<br>Reporters constantly badger her about her private life.|獾大步流星地跨进房间。<br>一只獾从一个小地洞里跳了出来。<br>你不能纠缠我去参加聚会。<br>记者经常纠缠着打听她的私生活。|大学八级英语单词
大学八级英语单词|badinage|英['bædɪnɑːʒ] 美[ˌbædən'ɑːʒ]|n.打趣；开玩笑；嘲弄|For all the forced badinage, it was an awkward meal.<br>Sometimes we girls badinage together: 「We will not watch the football game, unless there is a handsome man.<br>At El Sordo's camp Pilar exchanges badinage with Joaquin, a young man who wanted to be a bullfighter before the war, while Jordan confers with the leader.<br>I have no mood to badinage.<br>I'm badinage for you!|大家尽管勉强地说说笑笑，这顿饭依旧吃得很别扭。<br>之类，反正除了看帅哥，欣赏帅哥在场地上奔跑的样子就没有别的。<br>在「聋子」的营地，趁着乔丹同那位队长商议的空当，皮拉尔跟华金相互打趣起来。华金是个年轻小伙子，战前曾想当名斗牛士。<br>我没有心情开玩笑！<br>我在跟你开玩笑呢！|大学八级英语单词
大学八级英语单词|bale|英[beɪl] 美[beɪl]|n.包；捆；灾祸；不幸<br>v.将……打包|The cloth was packed in bales.<br>I sat on a bale of straw near the fire.<br>The bale will be coming.|布已经打成包。<br>我坐在炉火边的一捆稻草上。<br>不幸就要降临了。|大学八级英语单词
大学八级英语单词|baleful|英['beɪlfl] 美['beɪlfl]|adj.有害的；恶意的|He now thinks this influence was baleful.<br>The robber gave me a baleful look.<br>But, the most darkling change still is the origin problem of baleful software.|他现在认为这种影响是有害的。<br>那强盗用威胁的眼光看着我。<br>但是，最令人害怕的变化还是恶意软件的来源问题。|大学八级英语单词
大学八级英语单词|balk|英[bɔːk] 美[bɔːk]|v.阻止；突然停止；退缩；拒绝<br>n.障碍；错误；失败<br>n.梁木<br>[棒球]佯投；犯规动作； [游戏]开球区。|The high price is a balk to me.<br>There are small holes in the balk of a field, where crabs and fish accumulate in the rainy season.|对我来说，价格太高是一个障碍。<br>田间的梁木上有小洞口，螃蟹和鱼在雨季的时候会聚集在里面。|大学八级英语单词
大学八级英语单词|balky|英['bɔːlki] 美['bɔːlki]|adj.停蹄不前的；突然停止的；难以启动的；固执的|The increased funding would require approval from a balky Congress.|增加融资可能需要得到固执的美国国会批准。|大学八级英语单词
大学八级英语单词|ballad|英['bæləd] 美['bæləd]|n.歌谣；诗歌；谣曲|This poem has the distinctive flavour of a ballad.<br>The old man sang us a ballad.<br>The singer led off with a popular ballad.<br>The musician made the legend into a beautiful ballad.<br>You are more like a resounding ballad, telling us a moving legend.<br>It's a medieval ballad about a knight and a lady.|这首诗有民歌风味。<br>老人给我们唱了一首歌谣。<br>歌唱家首先唱了一首流行的民歌。<br>这位音乐家把传说编成了一首美丽的民谣。<br>你更像一首优美而高亢的诗歌，一个美丽而动人的传奇。<br>这是一首关于骑士和贵族小姐的中世纪谣曲。|大学八级英语单词
大学八级英语单词|ballast|英['bæləst] 美['bæləst]|n.压载物；压舱物； （铺铁路路基时所用的）石块；镇流器；稳定力量<br>vt.给……装压舱物（压载物）；使稳定|If not ventilated properly, their ballast circuitry can get fried enough to fail.<br>The ship was furnished with ballast.<br>So are the motions of a little vessel without ballast tossed about on a stormy sea.<br>The starting time is the time the ballast needs to light and stabilise the lamp.|如果通风不畅，压载物的线路板会如同被煎过似的坏掉。<br>船上装了压舱物。<br>在惊涛骇浪的大海上，一只没有压舱物的小船就是这样颠颠簸簸。<br>镇流器使灯启动并使其稳定工作所需的时间。|大学八级英语单词
大学八级英语单词|balm|英[bɑːm] 美[bɑːm]|n.香油；药膏|Balm of a rose can rival a variety of other balm.<br>Attar is the rarest balm, price is even more expensive than gold.<br>He smeared some balm on his hand to soothe the pain.|一滴玫瑰香油可以媲美多种其它香油。<br>玫瑰油是最名贵的香油，价钱比黄金还要贵。<br>他在手上涂了些药膏来止痛。|大学八级英语单词
大学八级英语单词|banal|英[bə'nɑːl] 美[bə'nɑːl]|adj.陈腐的；平庸的|Even if you are saying something banal, it will seem original if you make it vague, open-ended, and sphinxlike.<br>It involves systematic yet banal design, and blunt reportage.|哪怕你是在说一些很平庸陈腐的东西，说得越模糊，越显得独创而有哲理。<br>它使用系统的，然而平庸的设计和迟钝的新闻报道。|大学八级英语单词
大学八级英语单词|bane|英[beɪn] 美[beɪn]|n.祸害；祸根|We must beware of the bane that the Tao of sage caused.<br>Avarice is the bane to happiness.<br>Drink was the bane of his life.|我们对圣人之道所带给我们的祸害，一定要小心谨慎以对。<br>贪婪是损毁幸福的祸根。<br>酗酒是他一生的祸根。|大学八级英语单词
大学八级英语单词|banish|英['bænɪʃ] 美['bænɪʃ]|vt.驱逐；流放；消除|His lies caused his wife to banish him from the house.<br>The sound of doctrine rings out daily in order to banish various curiosities about this world.<br>You can banish that idea from your mind.<br>The doctor advised her to banish fear and anxiety.|他因说谎而被老婆驱逐出家门。<br>一种主义的声响日以夜继，千日不绝，用以驱逐人们对这个世界的种种好奇与揣测！<br>你能消除心中的那种念头。<br>医生劝她消除恐惧和忧虑。|大学八级英语单词
大学八级英语单词|banister|英['bænɪstə(r)] 美['bænɪstər]|n.栏杆的支柱；楼梯的扶栏<br>=bannister.|He arched over the banister to grab her hand.<br>He had to lie over the banister because he was getting dizzy.<br>Pay much attention to the banister since it is just painted.<br>The boys amused themselves by sliding down the banister.|他拱起身子越过栏杆去抓她的手。<br>他感到晕眩，只得靠在栏杆上。<br>这边的扶手才刚被粉刷过，很容易掉色。<br>男孩们从楼梯扶手滑下以取乐。|大学八级英语单词
大学八级英语单词|banter|英['bæntə(r)] 美['bæntər]|n.轻松说笑<br>v.戏弄；开玩笑|He senses the truth beneath her banter.<br>The students exchanged banter with each other.<br>It is rude to banter a man out of his senses.<br>He has serious character, but he tries to be humorous to banter with her.|他辨出这玩笑话里有真意在。<br>同学们互相开玩笑。<br>戏弄他人而使其失去理性是无礼的。<br>男孩儿有些严肃，但是在她面前，他会尽量表现幽默。|大学八级英语单词
大学八级英语单词|barb|英[bɑːb] 美[bɑːrb]|n.倒钩；刻薄的言语|Surgeons removed a foot-long barb from his heart.<br>A fish hook has a barb to prevent the fish from escaping after being hooked.<br>And with that last barb, Harry's slowly unravelling grip on his temper gave way.|外科医生正从他的心脏移出一英尺长的倒钩。<br>鱼钩上都有一个倒钩以防上了钩的鱼逃走。<br>他一直听到最后那句挖苦话，结果先前的忍耐终于失去控制了。|大学八级英语单词
大学八级英语单词|barbarous|英['bɑːbərəs] 美['bɑːrbərəs]|adj.野蛮的；粗俗的|It is a barbarous way to extend territory by arms.<br>It's likely to be the most barbarous war that we have ever known.<br>It is barbarous to call at 5 a.m.|以武力扩张领土是一种野蛮的方式。<br>这将会是一场我们所知道的最残忍的战争。<br>清晨五点给人打电话是缺乏教养的行为。|大学八级英语单词
大学八级英语单词|barefaced|英['beəfeɪst] 美['berfeɪst]|adj.公然的；无耻的；无面具的；无胡须的|More and more people will try to tell barefaced lies.|告诉朋友厚颜无耻的谎言，将会造成不良的关系。|大学八级英语单词
大学八级英语单词|baroque|英[bə'rɒk] 美[bə'roʊk]|adj.巴洛克式的；过份雕琢的；奇形怪状的<br>n.巴洛克式；巴洛克风格|A development of Baroque,f it will be found a congruous decoration for baroque churches.<br>A development of Baroque,f it will be found a congruous decoration for baroque churches.<br>After the heavy works created in the Baroque style artists were ready for a change.<br>The Rococo palette is softer and paler than the rich primary colors and dark tonalities favored in Baroque tastes.|巴落克式样，它的发展被发现适合装饰成为巴洛克式的教会。<br>巴落克式样，它的发展被发现适合装饰成为巴洛克式的教会。<br>历经巴洛克风格创造出的沉重作品之后，艺术家正准备要来个改变。<br>洛可可风格的用色与巴洛克风格相较之下，显得柔和并且颜色较淡，温柔地提供给人们没有压迫的舒适感受。|大学八级英语单词
大学八级英语单词|barrage|英['bærɑːʒ] 美[bə'rɑːʒ]|n.弹幕；掩护炮火<br>n.拦河坝<br>vt.以密集火力进攻|Make your opponents spin and crash as you bombard them with a barrage of weapons.|向你的竞争对手们进行弹幕式的炸掉袭击，让他们团团转并一一被摧毁。|大学八级英语单词
大学八级英语单词|barricade|英[ˌbærɪ'keɪd] 美[ˌbærɪ'keɪd]|n.【C】路障；街垒；障碍物；栅栏<br>n.（常用复数形式）barricades：有激烈争论的领域或议题<br>vt.设路障挡住；阻拦；封锁|Please step behind the police barricade.<br>The soldiers make a barricade across the road.<br>The soldiers stormed the barricades erected by the rioting crowd.<br>Everyone should be guarded by legal barricades.<br>The doorkeeper keeps people in or out by means of a barricade.<br>The man and his boys then started to pile up a barricade to prevent livestock from running away.<br>Residents were ready to go to the barricades to fight the school closure.<br>They barricaded the main road with fallen trees.<br>The police barricaded off the entrance to the square.<br>The boy barricaded the door to keep the stranger out.<br>They barricaded themselves in (their rooms).|请站在警戒线之后。<br>士兵在路上设路障。<br>士兵们向暴乱分子设置的街垒发起了猛攻。<br>人人都应受法律保障。<br>门卫通过障碍物来控制人们的出入。<br>这时他和孩子开始堆栅栏，防止牲畜逃跑。<br>居民关于反对学校关闭一事准备展开争论。<br>他们用倒下的树堵住了主要道路。<br>警方在广场的入口处设置了路障。<br>男孩挡住门不让那个陌生人进去。<br>他们把自己关在（自己的屋子）里面。|大学八级英语单词
大学八级英语单词|barter|英['bɑːtə(r)] 美['bɑːrtər]|v.物物交换；以货易货<br>n.物物交换；实物交易|They used to barter for horses with salt.<br>The colonists bartered calico for Indian land.<br>The prisoners tried to barter with the guards for their freedom.<br>Some countries had to resort to barter to obtain foreign goods.<br>On these islands a system of barter is used.<br>The business is said to be done on barter basis.|他们过去以食盐交换马匹。<br>殖民者以印花布交换印地安人的土地。<br>囚犯们企图和看守做换取自由的交易。<br>一些国家不得不采取以货易货的方法以得到外国货物。<br>在这些岛上仍然实行着物物交换的制度。<br>这笔交易据说是按易货方式做的。|大学八级英语单词
大学八级英语单词|baseboard|英['beɪsbɔːd] 美['beɪsbɔːrd]|n.护壁板；脚板|The wall is paper face plasterboard inside, or partial baseboard.<br>He leans on chair, double feet are stretched cozily, baseboard touchdown.|内墙是纸面石膏板，或者部分护壁板。<br>他倚在椅上，双脚舒适地张开，脚板着地。|大学八级英语单词
大学八级英语单词|bathetic|英[bə'θetɪk] 美[bə'θetɪk]|adj.平庸陈腐的；〈语〉顿降的；假作悲伤的|The movie's bathetic ending disappointed the audience.|这部电影糟糕的结局令观众失望。|大学八级英语单词
大学八级英语单词|bawdy|英['bɔːdi] 美['bɔːdi]|adj.淫猥的；下流的|After a few drinks, they were all singing bawdy songs at the top of their voices.|喝了几杯酒之后，他们就扯着嗓门唱一些下流歌曲。|大学八级英语单词
大学八级英语单词|bedeck|英[bɪ'dek] 美[bɪ'dek]|vt.装饰；修饰|The duchess bedeck herself with jewel.|公爵夫人用珠宝装扮自己。|大学八级英语单词
大学八级英语单词|belabor|英[bɪ'leɪbə] 美[bɪ'leɪbə]|vt.痛击；痛斥；冗长地解释|We won't belabor the theory and background.|我们不会就理论和背景做太多的论述。|大学八级英语单词
大学八级英语单词|beleaguer|英[bɪ'liːgə] 美[bɪ'liːgə]|vt.围攻；使烦恼|Financial problems beleaguer the small business.|财务问题困扰着这家小企业。|大学八级英语单词
大学八级英语单词|belie|英[bɪ'laɪ] 美[bɪ'laɪ]|v.掩饰；与……不符；使……失望|His cheerful manner belied his real feelings.<br>Practical experience belies this theory.<br>Yet his actions belie that agnosticism.|他那快活的样子掩饰了他真实的感情。<br>实际经验证明这个理论是错误的。<br>然而他却言行不一。|大学八级英语单词
大学八级英语单词|bellicose|英['belɪkəʊs] 美['belɪkoʊs]|adj.好战的；好斗的|The result of being bellicose is that all your previous efforts become wasted.<br>Bellicose workers are problems of the factory.|恋战的后果就是前功尽弃。<br>好争吵的工人是这工厂的问题所在。|大学八级英语单词
大学八级英语单词|belligerence|英[bə'lɪdʒərəns] 美[bə'lɪdʒərəns]|n.交战；好战性；斗争性|What poses a threat here is not belligerence but inertia.|在这里，真正造成威胁的并不是交战状态，而是经济的呆滞。|大学八级英语单词
大学八级英语单词|bellwether|英['belweðə(r)] 美['belweðər]|n.系铃的公羊；前导；领导者；群众的首领|Investors are now holding their breath to see if these two bellwether cities will witness drops in property prices.|现在，投资者全都屏住了呼吸，静观这两座前导性城市的房价是否会跳水。|大学八级英语单词
大学八级英语单词|benediction|英[ˌbenɪ'dɪkʃn] 美[ˌbenɪ'dɪkʃn]|n.祝福；恩赐|She conferred her benediction to me when I left.<br>I say the benediction to my father's birthday.<br>The appearance of the sun after the many rainy days was like a benediction.|当我离开的时候，她向我祝福。<br>我祝福父亲的生日。<br>人们把久雨后出现的太阳看成是上帝的恩赐。|大学八级英语单词
大学八级英语单词|beneficent|英[bɪ'nefɪsnt] 美[bɪ'nefɪsnt]|adj.行善的；慈善的；仁慈的|She had now a life filled also with a beneficent activity.<br>The beneficent act is beneficial to us.<br>All of us like her for her beneficent behaviour.|她目前的生活里善行颇多。<br>这次慈善行动对我们有益。<br>因为她友善的品行，我们每个人都喜欢她。|大学八级英语单词
大学八级英语单词|benign|英[bɪ'naɪn] 美[bɪ'naɪn]|adj.仁慈的；温和的；良性的|My mother's character is very benign.<br>The heat, the bureaucracy, the confusion and complications of his job, had reduced him in seven years to a blob of benign jelly.<br>The benign weather brought North America a bumper crop.<br>After tests the tumor was found to be benign.|我母亲非常慈祥。<br>炎热的天气，官僚政治和他工作的错综复杂和混乱，在七个年头里已使他变成一个仁慈的和稀泥老手。<br>温和的气候给北美带来大丰收。<br>检测发现肿瘤是良性的。|大学八级英语单词
大学八级英语单词|bequest|英[bɪ'kwest] 美[bɪ'kwest]|n.遗产；遗赠物|He left a bequest to each of his grandchildren.<br>We must note to protect our national bequest.<br>The picture was acquired by bequest in 1921.|他给他的孙子孙女每人留下一笔遗产。<br>我们必须注意保护自己的民族遗产。<br>这幅画是在 1921 年通过遗赠获得的。|大学八级英语单词
大学八级英语单词|berate|英[bɪ'reɪt] 美[bɪ'reɪt]|v.〈正式或文〉严厉责备|The boss berated the employee for his mistake.|老板因员工的错误而责骂他。|大学八级英语单词
大学八级英语单词|beseech|英[bɪ'siːtʃ] 美[bɪ'siːtʃ]|v.恳求；乞求|If you would beseech a blessing upon yourself, beware!|如果想为自己恳求祝福，千万小心！|大学八级英语单词
大学八级英语单词|besmirch|英[bɪ'smɜːtʃ] 美[bɪ'smɜːrtʃ]|vt.弄污；污渍|This eradicator can wash hard besmirch.<br>This eradicator could clean hard besmirch.<br>This eradicator can wipe off difficult besmirch.<br>This eradicator can wipe off the hard besmirch.<br>He had deliberately set out to besmirch her reputation.<br>This kind of detersive can removal the hard-washing besmirch.|这种去污剂能去除难洗的污渍。<br>这种去污剂能去除难洗的污渍。<br>这种去污剂能去除难洗的污渍。<br>这种去污剂能去除难洗的污渍。<br>他是有意损害她的名声。<br>这种去污剂能去除难洗的污渍。|大学八级英语单词
大学八级英语单词|bibliography|英[ˌbɪbli'ɒɡrəfi] 美[ˌbɪbli'ɑːɡrəfi]|n.参考书目；文献学|Bibliography usually appears at the end of a book.<br>The book ought to include a bibliography of the subject.<br>Please include your quotations in the bibliography.<br>We have quoted in the bibliography a large number of items.|参考书目通常在书后列出。<br>这本书应包括一份关于这一学科的参考书目。<br>请在参考文献处标明你的引文出处。<br>文献目录中列举了大量文献。|大学八级英语单词
大学八级英语单词|bibliophile|英['bɪbliəfaɪl] 美['bɪbliəfaɪl]|n.爱书者；藏书家<br>=bibliophist.|Ted loves everything about books. He is a real bibliophile.|泰德喜爱所有与书籍有关的事物。他真是一个爱书人。|大学八级英语单词
大学八级英语单词|bifurcate|英['baɪfəkeɪt] 美['baɪfərkeɪt]|v.（使）分叉<br>adj.分叉的；分成两支的|Drainage was to the north and individual channels bifurcate in that direction.|整个水系向北排水，各个河道朝该方向分叉。|大学八级英语单词
大学八级英语单词|bigot|英['bɪɡət] 美['bɪɡət]|n.（宗教、政治等的）盲信者；顽固者|His words stamped him to be a bigot.<br>Pretty soon everyone in his dorm labels him as an intolerant bigot.<br>When you try to impose them on others, you make yourself into a self-righteous bigot.|他讲的话表明他是个偏执的人。<br>很快他就被宿舍其他人打上「偏执的盲目信仰者」的标签。<br>当你试图把这些向他人推行时，你让你自身变成了一个伪善的老顽固。|大学八级英语单词
大学八级英语单词|blazon|英['bleɪzn] 美['bleɪzn]|v.以纹章装饰；宣布<br>n.纹章；盾徽|The teacher blazoned she would punish the bad student.<br>I blazon my house.|老师宣布她将惩罚那个坏学生。<br>我以家徽装饰我的家。|大学八级英语单词
大学八级英语单词|blemish|英['blemɪʃ] 美['blemɪʃ]|n.瑕疵；污点；缺点<br>v.玷污；损害|These wine glasses were sold at half price because of blemishes in the jade.<br>There is a blemish in the swimming suit.<br>That mole is a blemish on his face.<br>His reputation was blemished by a newspaper article alleging he had taken bribes.<br>One bad deed can blemish a good reputation.|这些酒杯半价出售，因为玉上有瑕疵。<br>这件游泳衣上有个污点。<br>那个黑痣是他脸上的缺点。<br>报纸上一篇文章说他受贿，他的声誉因此受到玷污。<br>一次不良的行为可损害好的名声。|大学八级英语单词
大学八级英语单词|blighted|英[b'laɪtɪd] 美[b'laɪtɪd]|adj.枯萎的；摧毁的<br>动词 blight 的过去式和过去分词形式。|His reputation was blighted by his bad behavior.<br>The apple trees were blighted by frost.<br>Her life was blighted by ill health.<br>Blighted, withered, or shriveled.|他的名誉为他的行为不检所毁。<br>苹果树因严寒而枯萎。<br>她的一生被疾病所摧残。<br>枯萎的，萎缩的，皱缩的|大学八级英语单词
大学八级英语单词|bliss|英[blɪs] 美[blɪs]|n.幸福；极乐；天赐的福|They were in a state of bliss during the honeymoon.<br>The first six months of marriage were sheer bliss.<br>Tom was swimming in bliss.<br>Innocence is bliss.|他们在蜜月期间幸福无比。<br>刚结婚的半年，他们沉浸在极乐之中。<br>汤姆处于极乐之中。<br>无知便是福。|大学八级英语单词
大学八级英语单词|blithe|英[blaɪð] 美[blaɪð]|adj.快乐的；无忧无虑的；轻率的|She seems quite blithe.<br>Sunday's child is bonny, blithe, good and gay.<br>Though we had never done it, as blithe and hardworking spirits we felt that we could too.|她看上去很快乐。<br>星期日出生的孩子漂亮，愉快，乖巧又有朝气。<br>虽然还没做到这一点，但无忧无虑而又勤劳刻苦的我们，相信自己一定能行。|大学八级英语单词
大学八级英语单词|blueprint|英['bluːprɪnt] 美['bluːprɪnt]|n.蓝图；设计图；（周详的）计划<br>v.制成蓝图；计划|There is a slight inaccuracy in this blueprint.<br>To receive this new blueprint, one must ask for it.<br>Ascending human futures have a Divine Plan, a divine blueprint.<br>Ascending human futures have a Divine Plan, a divine blueprint.|这张蓝图有点不准。<br>要去接收到这个新蓝图，你必须召唤它。<br>提升人类的未来有一个神性计划，一个神性蓝图。<br>提升人类的未来有一个神性计划，一个神性蓝图。|大学八级英语单词
大学八级英语单词|blunt|英[blʌnt] 美[blʌnt]|adj.钝的；迟钝的；直率的<br>v.使迟钝；变钝|Blunt scissors don't cut cleanly.<br>My pencil is blunt, could you lend me a knife to sharpen it?<br>It involves systematic yet banal design, and blunt reportage.<br>He's very blunt and will tell you what he thinks about anything.<br>His mind was blunted by boredom.<br>You 'll blunt the scissors if you use them to cut cards.|钝剪刀剪不齐。<br>我的铅笔钝了，你能借我把刀子削一削吗？<br>它使用系统的，然而平庸的设计和迟钝的新闻报道。<br>他的个性非常直率，会把他所想的都说出来。<br>他的头脑因厌烦而变得迟钝。<br>用剪刀剪硬纸板，你会把剪刀弄钝的。|大学八级英语单词
大学八级英语单词|blur|英[blɜː(r)] 美[blɜːr]|v.弄脏；使……模糊<br>n.污点；模糊|The damp paper caused the ink to blur.<br>Don't blur the distinctions between things.<br>Do drunkards blur reality, or come closer to it?<br>But we see it only as a hazy blur.<br>The oil blur on the surface is too thick to wipe off.<br>The events of that day were just a blur.<br>The houses appeared as a blur in the mist.|潮纸因墨水弄上污渍。<br>不要模糊事物之间的差别。<br>酒醉之后是使现实模糊不清，还是更加接近现实了呢？<br>但我们看到的只是模糊的斑点。<br>面上的油污太厚，擦不掉。<br>那天发生的事只剩一片模糊的记忆。<br>那些房子在雾中显得一片模糊。|大学八级英语单词
大学八级英语单词|blurb|英[blɜːb] 美[blɜːrb]|n.大肆宣传；吹捧性广告；简介；短评<br>v.大做广告|I am fed up with the blurb that finance agency keeps sending me.<br>In the blurb I couldn't see anything about thinking at all.|我对那家财务代理公司不断寄来的宣传广告感到极为厌烦。<br>在这本书的简介中，我根本找不到任何有关思想的东西。|大学八级英语单词
大学八级英语单词|blurt|英[blɜːt] 美[blɜːrt]|vt.冲口说出；突然说出|He blurted out the bad news before I can stop him.<br>You will find yourself able to blurt them out at the right time.<br>What made him blurt out such a remark?|我还没来得及阻止他，他已冲口说出了这个坏消息。<br>你会发现你终能将它们都脱口而出。<br>他怎么突然迸出这句话来？|大学八级英语单词
大学八级英语单词|bluster|英['blʌstə(r)] 美['blʌstər]|v.咆哮；（风）狂吹；夸口<br>n.狂风声；咆哮；大话|He blustered his way through the crowd.<br>They blustered about how they would beat us all up.<br>The gale blustered all night.<br>The storm is blustering northeastward across the open Atlantic.<br>He always tries to bluster his way out of difficult situations.<br>Instead of admitting when we do not know something, we bluff and bluster.<br>We could hear the bluster of the wind and rain.<br>Much of his bluster rose from timidity.<br>I wasn't frightened by what he said, it was just bluster.|他吆喝着挤过人群。<br>他们威胁说他们要如何痛打我们大家。<br>大风刮了一夜。<br>风暴正向东北方向移动，吹向广袤的大西洋。<br>他总是自吹自擂以摆脱困境。<br>我们总不愿意承认我们的无知，而是能吹则吹，能唬则唬。<br>我们能听到狂风暴雨的吹打声。<br>他的吵嚷大都是由于怯懦。<br>他说的话吓不倒我——不过是雷声大，雨点小。|大学八级英语单词
大学八级英语单词|boding|英['bəʊdɪŋ] 美['boʊdɪŋ]|n.凶兆；前兆；预兆<br>adj.凶兆的；预兆的<br>动词 bode 的现在分词形式。|The bad tnadirg figures do not bode well.<br>His careful habits bode well for his future.<br>If we bide our time the chance will come.<br>His idle habits bode ill for his future.<br>The bad trading figures do not bode well for the company's future.<br>Bide still until you feel better.|这些交易数额欠佳，预示公司前景不妙。<br>他那认真的习惯预示著他会有好的前途。<br>只要我们等待时机，总会有希望的。<br>他的懒惰习惯预示他将来不会有好的前途。<br>这些交易数额欠佳，预示公司前景不妙。<br>安静一会儿直到你觉得好一些。|大学八级英语单词
大学八级英语单词|bodyguard|英['bɒdiɡɑːd] 美['bɑːdiɡɑːrd]|n.警卫员；保卫人员；保镖|The Premier's bodyguard was waiting there.<br>His bodyguard leapt into action.<br>The big guy standing at his side may be his bodyguard.|首相的护卫人员在那儿等着。<br>他的保镖立即采取行动。<br>站在他身旁的那个大个子可能是他的保镖。|大学八级英语单词
大学八级英语单词|boggle|英['bɒɡl] 美['bɑːɡl]|v.犹豫；吃惊；困惑|He boggled at the thought of swimming in winter.<br>Don't boggle, the good chance will be lost.<br>And of course, the cultural references are likely to boggle your mind.|他想到要在冬天游泳就有些犹豫。<br>别犹豫不决，否则会错失良机。<br>当然，里面的文化内容可能会让你摸不着头脑。|大学八级英语单词
大学八级英语单词|boisterous|英['bɔɪstərəs] 美['bɔɪstərəs]|adj.喧闹的；狂暴的|But a boisterous freedom was in the air.<br>We can hear their boisterous laughter in the next room.<br>The infinite sky is motionless overhead and the restless water is boisterous.|但空气中弥漫着放纵喧闹的气氛。<br>我们可以听到他们在隔壁房间的喧闹的笑声。<br>头上是静止的无垠的天空，不息的海水狂暴。|大学八级英语单词
大学八级英语单词|bolster|英['bəʊlstə(r)] 美['boʊlstər]|n.长枕；靠垫<br>vt.支持；鼓励|There is a bolster across the head of the bed.<br>Both sides offered statistics to bolster their arguments.<br>We always bolster up the government in its struggle against terrorism<br>They bolstered their morale by singing.<br>It bolstered my belief.<br>The woman took some gin to bolster up her courage.|床头上有一个长枕垫。<br>双方都拿出统计数字来支持他们的论点。<br>我们始终支持政府的反恐怖主义的斗争。<br>他们以唱歌来鼓舞士气。<br>这增强了我的信念。<br>那名妇女喝些杜松子酒壮胆。|大学八级英语单词
大学八级英语单词|bombast|英['bɒmbæst] 美['bɑːmbæst]|n.浮夸的言语；高调|His speech was full of bombast.|他的讲演通篇是夸夸其谈。|大学八级英语单词
大学八级英语单词|bonhomie|英['bɒnəmi] 美[ˌbɑːnə'miː]|n.好性情；温和；和蔼|Yet beneath the enforced bonhomie, abiding issues remain.|在强制的温和之下，旧有的问题依旧存在。|大学八级英语单词
大学八级英语单词|boo|英[buː] 美[buː]|int.（表示不满、轻蔑等）嘘；呸<br>n.嘘声（pl<br>v.发出嘘声|Even if you don't like one of the players you should not boo and hiss at them.|即使是你不喜欢其中的一个球员，你不应该对他们发出嘘声。|大学八级英语单词
大学八级英语单词|boon|英[buːn] 美[buːn]|n.恩惠；所感激的事<br>adj.合得来的|Remember the hurt that we give to others, forget the boon.<br>A priest accompanying your regiment into the fray is indeed a boon.<br>Park is a great boon to people in big city.<br>A car is a real boon when you live in the country.<br>He has a couple of boon companions.<br>Bill and Bob are boon companions.|记住自己对别人的伤害，忘掉自己对别人的恩惠。<br>对于你的师团来说，有一名牧师与你的部队一同冲杀敌阵，着实是一种恩惠。<br>在大城市里，公园是人们的好去处。<br>在郊外居住，有辆汽车确实极为方便。<br>他有几个爱吃喝交际的朋友。<br>比尔和鲍勃是很合得来的朋友。|大学八级英语单词
大学八级英语单词|boor|英[bʊə(r)] 美[bʊr]|n.粗野的人；不懂礼貌的人；农民；乡下人|Only a boor would ignore the rules.|只有粗人才会无视规则。|大学八级英语单词
大学八级英语单词|bootless|英['buːtlɪs] 美['buːtlɪs]|adj.无用的；无益的|"I "trouble deaf heaven with my bootless cries".<br>He robs himself that spends a bootless gridf.<br>A bootless 4-year-old enjoys his ride on a swing pushed by his grandfather at a park in Chatham, Canada.<br>The cry brought him skulking back to his master and a blunt bootless kick sent him unscathed across a spit of sand, crouched in flight.<br>Then the starving, bootless, ragged, stupid wretches fell down and worshipped the System.<br>By heavens it is pitiful, the bootless love of women for children in Vanity Fair.|我「哭天天不应」。<br>无益的悲伤只是掠夺自身。<br>在加拿大查坦的一座公园里，一名光脚的四岁男童让阿公推著秋千乐在其中。<br>这么一嚷，狗就怯懦地回到主人跟前，它被没穿靴子的脚猛踢了一下，虽没伤着，却倦缩着逃到沙滩另一头。<br>于是那些赤脚的，挨饿的，衣衫褴褛的，愚昧无知的可怜虫就跪倒地下，对这个制度顶礼膜拜。<br>好可怜啊，在「名利|大学八级英语单词
大学八级英语单词|bouquet|英[bu'keɪ] 美[bu'keɪ]|n.花束；称赞；酒香|He bought a bouquet at the florist.<br>She laid the bouquet on the newly turfed grave.<br>Ribbon hung from the bride's bouquet was tied in a bow.<br>In his speech there were bouquets for everyone who had helped him.<br>He swirled the wine gently in the glass to receive the bouquet.<br>The wine has a light, dry fruity flavour and delicate bouquet.|他在花店买了一束花。<br>她把那束花放置在新铺上草皮的坟墓上。<br>从新娘的花束上垂下来的丝带打成了一个结。<br>在他的演讲里，他赞美了每一位帮助他的人。<br>他慢慢晃动酒杯轻嗅酒香。<br>这种酒有一种淡淡的果香和微妙的酒香。|大学八级英语单词
